time,recvpackets@tsung_controller@ip-172-31-29-6 
10,209 
20,209 
30,209 
40,209 
50,209 
60,209 
70,209 
80,209 
90,209 
100,209 
110,209 
120,209 
130,209 
140,209 
150,209 
160,209 
170,209 
180,209 
190,209 
200,209 
210,209 
220,209 
230,209 
240,209 
250,209 
260,209 
270,209 
280,209 
290,209 
300,209 
310,209 
320,209 
330,209 
340,209 
350,209 
360,209 
370,209 
380,209 
390,209 
400,209 
410,209 
420,209 
430,209 
440,209 
450,209 
460,209 
470,209 
480,209 
490,209 
500,209 
510,209 
520,209 
530,209 
540,209 
550,209 
560,209 
570,209 
580,209 
590,209 
600,209 
610,209 
620,209 
630,209 
640,209 
650,209 
660,209 
670,209 
680,209 
690,209 
700,209 
710,209 
720,209 
730,209 
740,209 
750,209 
760,209 
770,209 
780,209 
790,209 
800,209 
810,209 
820,209 
830,209 
840,209 
850,209 
