time,recvpackets@tsung_controller@ip-172-31-23-36 
10,212 
20,212 
30,212 
40,212 
50,212 
60,212 
70,212 
80,212 
90,212 
100,212 
110,212 
120,212 
130,212 
140,212 
150,212 
160,212 
170,212 
180,212 
190,212 
200,212 
210,212 
220,212 
230,212 
240,212 
250,212 
260,212 
270,212 
280,212 
290,212 
300,212 
310,212 
320,212 
330,212 
340,212 
350,212 
360,212 
370,212 
380,212 
390,212 
400,212 
410,212 
420,212 
430,212 
440,212 
450,212 
460,212 
470,212 
480,212 
490,212 
500,212 
510,212 
520,212 
530,212 
540,212 
550,212 
560,212 
570,212 
580,212 
590,212 
600,212 
610,212 
620,212 
630,212 
640,212 
650,212 
660,212 
670,212 
