time,recvpackets@tsung_controller@ip-172-31-17-73 
10,567 
20,251 
30,251 
40,251 
50,251 
60,251 
70,251 
80,251 
90,251 
100,251 
110,251 
120,251 
130,251 
140,251 
150,251 
160,251 
170,251 
180,251 
190,251 
200,251 
210,251 
220,251 
230,251 
240,251 
250,251 
260,251 
270,251 
280,251 
290,251 
300,251 
310,251 
320,251 
330,251 
340,251 
350,251 
360,251 
370,251 
380,251 
390,251 
400,251 
410,251 
420,251 
430,251 
440,251 
450,251 
460,251 
470,251 
480,251 
490,251 
500,251 
510,251 
520,251 
530,251 
540,251 
550,251 
560,251 
570,251 
580,251 
590,251 
600,251 
610,251 
620,251 
630,251 
640,251 
650,251 
660,251 
670,251 
680,251 
690,251 
700,251 
710,251 
720,251 
730,251 
740,251 
750,251 
760,251 
770,251 
780,251 
790,251 
800,251 
810,251 
820,251 
830,251 
840,251 
850,251 
860,251 
870,251 
880,251 
887,17 
