time,recvpackets@tsung_controller@ip-172-31-23-127 
10,104 
20,104 
30,104 
40,104 
50,104 
60,104 
70,104 
80,104 
90,104 
100,104 
110,104 
120,104 
130,104 
140,104 
150,104 
160,104 
170,104 
180,104 
190,104 
200,104 
210,104 
220,104 
230,104 
240,104 
250,104 
260,104 
270,104 
280,104 
290,104 
300,104 
310,104 
320,104 
330,104 
340,104 
350,104 
360,104 
370,104 
380,104 
390,104 
400,104 
410,104 
420,104 
430,104 
440,104 
450,104 
460,104 
470,104 
480,104 
490,104 
500,104 
510,104 
520,104 
530,104 
540,104 
550,104 
560,104 
570,104 
580,104 
590,104 
600,104 
610,104 
620,104 
630,104 
640,104 
651,104 
660,104 
670,104 
680,104 
690,104 
700,104 
710,104 
720,104 
730,104 
740,104 
750,104 
760,104 
770,104 
780,104 
790,104 
800,104 
810,104 
820,104 
